# RA           DEC         
  54.672333    15.567417   
  134.613667   13.926389   
  330.661417   -19.0165    
  5.558542     -15.110056  
  58.468875    -10.438917  
  169.576167   7.738833    
  169.57675    7.738722    
  17.775958    33.139306   
  30.036667    31.447139   
  264.175458   68.055444   
  43.944625    9.329222    
  9.830375     0.848028    
  247.449917   40.796806   
  30.240542    -9.425361   
  30.195208    -9.390694   
  67.11625     -17.053806  
  68.918958    -14.61025   
  29.36975     32.199333   
  69.973458    -45.690889  
  350.963083   16.783194   
  222.937625   -15.178333  
  51.20875     -29.325889  
  222.954083   -15.233083  
  328.779125   -9.391444   
  250.392917   38.949944   
  28.3425      26.178083   
  188.765333   39.399167   
  37.820542    -54.056     
  17.521875    -45.93425   
  184.295792   7.162417    
  204.409083   39.182583   
  179.132667   55.097806   
  3.274333     -27.20725   
  78.708792    -49.076222  
  149.993083   5.360222    
  150.008208   5.304917    
  185.027375   29.252139   
  188.5155     7.670611    
  110.304042   55.699778   
  110.4725     55.792694   
  7.338958     34.928111   
  188.561875   47.869194   
  75.817583    2.070528    
  206.880833   26.722278   
  207.379583   26.901861   
  295.862833   -58.632139  
  72.471708    -69.384583  
  271.521833   70.486806   
  271.525042   70.469028   
  46.067583    -77.88425   
  69.310917    0.703583    
  79.2325      -54.509861  
  347.072667   -2.175917   
  165.930625   35.912556   
  168.986542   42.644611   
  31.73225     29.529778   
  208.3155     63.733278   
  203.095208   -33.118778  
  17.015875    -47.1025    
  233.736417   23.531778   
  73.529708    -2.990583   
  14.685792    -36.113778  
  121.92025    -76.507     
  197.10725    29.413444   
  156.614708   38.722861   
  358.805417   5.93175     
  145.092708   14.950056   
  174.452333   22.020583   
  174.460708   21.964528   
  121.583375   15.484056   
  159.502917   41.74775    
  201.253833   65.824472   
  202.447833   -17.938278  
  133.13025    16.3295     
  153.410875   49.523583   
  84.851083    -28.647472  
  79.997458    -45.774944  
  149.155542   -0.322028   
  244.482667   6.046417    
  337.127292   -24.825111  
  49.441917    31.108111   
  200.596875   -16.700944  
  9.479708     -27.51975   
  188.715833   -3.569583   
  173.122375   -3.972056   
  151.147417   41.1825     
  221.050333   6.563583    
  172.101625   79.021194   
  183.578875   14.02525    
  134.549958   27.8205     
  54.386792    -34.964361  
  36.032625    -4.202417   
  205.005542   -0.431694   
  205.017292   -0.487194   
  355.890917   0.343722    
  35.780792    6.264556    
  217.583708   42.050389   
  217.28775    42.742      
  309.644833   -1.413806   
  50.271417    18.887028   
  66.486458    -8.5755     
  356.208333   9.210389    
  139.600667   16.333833   
  228.009625   -21.343778  
  281.27375    -62.381722  
  196.608708   -40.386278  
  281.175792   -62.346944  
  228.292042   0.353694    
  133.713      20.080667   
  133.695208   20.136194   
  40.060125    -23.171861  
  208.533958   -12.488472  
  293.11075    -55.923333  
  129.456042   38.531833   
  11.422833    4.189306    
  217.760833   28.315      
  140.697083   51.372556   
  267.179917   68.676472   
  72.122208    -20.571194  
  311.40525    -67.548056  
